x y
1013.0792479826525 1216.2422504826604
1007.2332246897292 1190.5910702628425
1496.2524306708403 1493.6774496105986
316.85694750165436 906.7034856642723
299.76086757851687 891.001700408723
1517.1971228838313 1485.9962002202117
302.52957132697236 894.0764207134865
998.7258841001205 1212.6728549268566
303.17112089762935 899.6527747669728
998.7840568640529 1206.1955891887155
1505.353594789657 1513.027699708292
995.4441642169513 1199.9051892492644
990.0023192869093 1176.4565700949133
290.4675020079833 920.9333107706665
309.4471768192956 893.7640602208143
1503.7433933452 1522.7358733555232
986.0382242759326 1199.0346500786918
999.7595040777915 1200.519798021512
307.6155683483185 923.474840123579
1500.158821773297 1496.9187750329813
1481.8576031106913 1505.560192844946
312.0674828844091 898.4274608386464
1009.8734164132081 1189.6543358504996
1499.7941451937538 1497.6121335655455
1498.175609820942 1498.5998508710268
285.8605157466467 902.9747225413544
1501.3666075260983 1497.686956167787
997.5534146023882 1213.1868289076006
1510.3992048144278 1507.159960966818
282.35928254339865 891.296578613938
